                            OLS Regression Results                            
==============================================================================
Dep. Variable:         weaptype_score   R-squared:                       0.717
Model:                            OLS   Adj. R-squared:                  0.431
Method:                 Least Squares   F-statistic:                     235.6
Date:                Wed, 12 Nov 2025   Prob (F-statistic):          3.76e-288
Time:                        22:28:29   Log-Likelihood:                 1438.4
No. Observations:                 648   AIC:                            -2225.
Df Residuals:                     322   BIC:                            -766.3
Df Model:                         325                                         
Covariance Type:                  HC1                                         
=============================================================================================
                                coef    std err          z      P>|z|      [0.025      0.975]
---------------------------------------------------------------------------------------------
Intercept                     1.9766      0.008    261.970      0.000       1.962       1.991
C(group_name)[T.soft]        -0.0404      0.006     -6.787      0.000      -0.052      -0.029
C(time_period)[T.1990-02]     0.0215      0.024      0.895      0.371      -0.026       0.069
C(time_period)[T.1990-03]     0.0300      0.015      2.016      0.044       0.001       0.059
C(time_period)[T.1990-04]     0.0550      0.007      7.922      0.000       0.041       0.069
C(time_period)[T.1990-05]     0.0195      0.008      2.437      0.015       0.004       0.035
C(time_period)[T.1990-06]     0.0149      0.008      1.934      0.053      -0.000       0.030
C(time_period)[T.1990-07]     0.0116      0.012      0.999      0.318      -0.011       0.034
C(time_period)[T.1990-08]     0.0124      0.013      0.944      0.345      -0.013       0.038
C(time_period)[T.1990-09]     0.0242      0.007      3.469      0.001       0.011       0.038
C(time_period)[T.1990-10]     0.0018      0.021      0.087      0.931      -0.039       0.043
C(time_period)[T.1990-11]     0.0023      0.007      0.326      0.744      -0.012       0.016
C(time_period)[T.1990-12]     0.0022      0.010      0.211      0.833      -0.018       0.022
C(time_period)[T.1991-01]     0.0436      0.021      2.039      0.041       0.002       0.086
C(time_period)[T.1991-02]     0.0292      0.009      3.236      0.001       0.012       0.047
C(time_period)[T.1991-03]    -0.0136      0.008     -1.803      0.071      -0.028       0.001
C(time_period)[T.1991-04]     0.0347      0.013      2.619      0.009       0.009       0.061
C(time_period)[T.1991-05]     0.0020      0.010      0.193      0.847      -0.018       0.022
C(time_period)[T.1991-06]     0.0282      0.018      1.569      0.117      -0.007       0.063
C(time_period)[T.1991-07]     0.0147      0.015      0.979      0.328      -0.015       0.044
C(time_period)[T.1991-08]     0.0369      0.008      4.715      0.000       0.022       0.052
C(time_period)[T.1991-09]     0.0301      0.010      3.126      0.002       0.011       0.049
C(time_period)[T.1991-10]     0.0356      0.024      1.507      0.132      -0.011       0.082
C(time_period)[T.1991-11]    -0.0128      0.022     -0.592      0.554      -0.055       0.030
C(time_period)[T.1991-12]     0.0174      0.024      0.711      0.477      -0.030       0.065
C(time_period)[T.1992-01]     0.0119      0.007      1.612      0.107      -0.003       0.026
C(time_period)[T.1992-02]    -0.0095      0.011     -0.890      0.373      -0.030       0.011
C(time_period)[T.1992-03]    -0.0027      0.008     -0.327      0.743      -0.019       0.013
C(time_period)[T.1992-04]     0.0070      0.021      0.340      0.734      -0.033       0.047
C(time_period)[T.1992-05]    -0.0070      0.009     -0.787      0.431      -0.024       0.010
C(time_period)[T.1992-06]    -0.0125      0.016     -0.768      0.442      -0.044       0.019
C(time_period)[T.1992-07]     0.0002      0.028      0.008      0.994      -0.054       0.055
C(time_period)[T.1992-08]    -0.0006      0.008     -0.075      0.941      -0.016       0.015
C(time_period)[T.1992-09]    -0.0478      0.009     -5.318      0.000      -0.065      -0.030
C(time_period)[T.1992-10]    -0.0121      0.017     -0.734      0.463      -0.045       0.020
C(time_period)[T.1992-11]     0.0032      0.021      0.153      0.878      -0.038       0.044
C(time_period)[T.1992-12]    -0.0081      0.026     -0.305      0.761      -0.060       0.044
C(time_period)[T.1993-01]  8.145e-17   4.79e-17      1.701      0.089   -1.24e-17    1.75e-16
C(time_period)[T.1993-02]   6.86e-17   9.93e-17      0.691      0.490   -1.26e-16    2.63e-16
C(time_period)[T.1993-03] -3.237e-18    6.5e-17     -0.050      0.960   -1.31e-16    1.24e-16
C(time_period)[T.1993-04]  2.564e-16   1.66e-16      1.546      0.122   -6.87e-17    5.82e-16
